epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3193.32,1.01052,1.22521,0.98844,1.00352,0.72001,0.72115,0.70534,0.46352,0.72771,0.68269,0.68351,0.3958,1.14572,1.38998,1.18317,1.072,0.000911,0.000911,0.000911
57,3257.28,1.08058,1.33153,1.05285,1.0234,0.7267,0.74038,0.73897,0.4953,0.69364,0.71154,0.70871,0.41051,1.13303,1.36672,1.17744,1.06746,0.0008912,0.0008912,0.0008912
58,3321.63,1.07199,1.30635,1.05394,1.02133,0.70992,0.70597,0.75359,0.51877,0.6647,0.7053,0.73831,0.39416,1.08786,1.41399,1.2107,1.04035,0.0008714,0.0008714,0.0008714
59,3385.76,1.02803,1.24013,1.01637,1.00034,0.6548,0.77885,0.74735,0.49315,0.64815,0.72623,0.70974,0.38287,1.10981,1.45867,1.23136,1.0462,0.0008516,0.0008516,0.0008516
60,3450.79,1.10785,1.39313,1.05176,1.03704,0.64303,0.76211,0.74114,0.48594,0.68927,0.76923,0.73437,0.41727,1.11915,1.43564,1.1809,1.0885,0.0008318,0.0008318,0.0008318
61,3517.69,1.12325,1.32652,1.05812,1.05521,0.64633,0.77319,0.75191,0.49006,0.63076,0.75561,0.71395,0.41064,1.13023,1.45619,1.14273,1.08221,0.000812,0.000812,0.000812
62,3591.27,1.04571,1.29715,1.0119,1.017,0.66833,0.76923,0.74436,0.51092,0.66884,0.75962,0.74005,0.42484,1.09944,1.39458,1.15492,1.08382,0.0007922,0.0007922,0.0007922
63,3657.93,1.12317,1.48288,1.12848,1.03239,0.59665,0.69231,0.61587,0.37303,0.57399,0.66346,0.60311,0.33409,1.20621,1.54745,1.37604,1.07561,0.0007724,0.0007724,0.0007724
64,3724.9,1.06154,1.33488,1.01325,0.98998,0.5817,0.65522,0.60489,0.37282,0.58019,0.64423,0.59039,0.34119,1.19202,1.47729,1.4204,1.07838,0.0007526,0.0007526,0.0007526
65,3797.22,1.06682,1.27144,1.01645,1.02438,0.65974,0.63387,0.64537,0.42976,0.60848,0.64423,0.62692,0.3499,1.09792,1.46732,1.36275,1.06592,0.0007328,0.0007328,0.0007328
